time(s)	speed(km/s)	position(km)	M(r)(kg)
0	0	6378	6.01662e+024
10	-355.203	6376.52	6.015e+024
20	-710.476	6374.05	6.01229e+024
30	-1065.86	6370.6	6.0085e+024
40	-1421.41	6366.16	6.00362e+024
50	-1777.17	6360.73	5.99765e+024
60	-2133.18	6354.31	5.99057e+024
70	-2489.48	6346.9	5.98238e+024
80	-2846.14	6338.49	5.97307e+024
90	-3203.18	6329.1	5.96264e+024
100	-3560.66	6318.71	5.95107e+024
110	-3918.61	6307.33	5.93834e+024
120	-4277.09	6294.95	5.92445e+024
130	-4636.15	6281.58	5.90938e+024
140	-4995.81	6267.2	5.89312e+024
150	-5356.13	6251.82	5.87564e+024
160	-5717.16	6235.44	5.85694e+024
170	-6078.93	6218.05	5.83699e+024
180	-6441.48	6199.65	5.81577e+024
190	-6804.86	6180.25	5.79326e+024
200	-7169.12	6159.83	5.76944e+024
210	-7534.28	6138.39	5.74428e+024
220	-7900.4	6115.94	5.71777e+024
230	-8267.51	6092.46	5.68987e+024
240	-8635.65	6067.96	5.66057e+024
250	-9004.85	6042.44	5.62982e+024
260	-9375.16	6015.88	5.59762e+024
270	-9746.61	5988.29	5.56392e+024
280	-10119.2	5959.66	5.5287e+024
290	-10493.1	5930	5.49193e+024
300	-10868.1	5899.29	5.45358e+024
310	-11244.5	5867.53	5.41361e+024
320	-11622.1	5834.72	5.372e+024
330	-12001.1	5800.86	5.32872e+024
340	-12381.4	5765.94	5.28373e+024
350	-12763	5729.95	5.237e+024
360	-13146.1	5692.91	5.18851e+024
370	-13530.6	5654.79	5.13821e+024
380	-13916.5	5615.59	5.08608e+024
390	-14303.8	5575.32	5.0321e+024
400	-14692.6	5533.97	4.97622e+024
410	-15082.8	5491.53	4.91843e+024
420	-15474.5	5448	4.8587e+024
430	-15867.6	5403.38	4.79699e+024
440	-16262.2	5357.66	4.7333e+024
450	-16658.2	5310.84	4.66759e+024
460	-17055.6	5262.91	4.59986e+024
470	-17454.5	5213.87	4.53009e+024
480	-17854.7	5163.72	4.45826e+024
490	-18256.2	5112.45	4.38436e+024
500	-18659.1	5060.06	4.3084e+024
510	-19063.2	5006.54	4.23038e+024
520	-19468.5	4951.9	4.1503e+024
530	-19875	4896.13	4.06817e+024
540	-20282.5	4839.22	3.98401e+024
550	-20691.1	4781.18	3.89784e+024
560	-21100.6	4722	3.80971e+024
570	-21510.9	4661.67	3.71963e+024
580	-21922	4600.21	3.62768e+024
590	-22333.7	4537.6	3.53388e+024
600	-22745.9	4473.84	3.43833e+024
610	-23158.4	4408.94	3.34108e+024
620	-23571.2	4342.89	3.24222e+024
630	-23984	4275.7	3.14186e+024
640	-24396.7	4207.36	3.04009e+024
